_id,branch,slot,sem,subcode[0],subcode[1],subcode[2],subcode[3],subcode[4],subcode[5],subcode[6]
645532886c991f17286e25a3,EE,F,5,MCN301,,,,,,
645532886c991f17286e25b4,ME,E,5,HUT300,HUT310,,,,,
645532886c991f17286e25b5,ME,F,5,MCN301,,,,,,
645532886c991f17286e25d5,EC,B,6,ECT304,,,,,,
645532886c991f17286e260b,CA,B,8,AIT414,AIT424,CST434,CST444,CST454,CST464,CST474
645532886c991f17286e261a,EC,A,8,ECT402,,,,,,
645532886c991f17286e261b,EC,B,8,ECT414,ECT424,ECT434,ECT444,ECT454,ECT464,ECT474
645532886c991f17286e261f,CE,B,8,CET414,CET424,CET434,CET444,CET454,CET464,CET474
645532886c991f17286e2641,EC,C,1,EST100,EST110,,,,,
645532886c991f17286e264b,ME,C,1,EST100,EST110,,,,,
645532886c991f17286e2650,CS,C,2,EST100,EST110,,,,,
645532886c991f17286e2658,CA,E,2,HUN102,,,,,,
645532886c991f17286e266d,EC,B,2,PHT100,CYT100,,,,,
645532886c991f17286e2527,CS,B,3,CST201,,,,,,
645532886c991f17286e2537,AD,F,3,MCN201,,,,,,
645532886c991f17286e2549,EC,F,3,MCN201,,,,,,
645532886c991f17286e254b,CE,B,3,CET201,,,,,,
645532886c991f17286e255f,CA,D,4,CST206,,,,,,
645532886c991f17286e2570,EE,C,4,EET204,,,,,,
645532886c991f17286e2576,EC,C,4,ECT204,,,,,,
645532886c991f17286e2577,EC,D,4,ECT206,,,,,,
645532886c991f17286e2586,CS,A,5,CST301,,,,,,
645532886c991f17286e258f,CA,D,5,AIT307,,,,,,
645532886c991f17286e2594,AD,C,5,AMT305,,,,,,
645532886c991f17286e2595,AD,D,5,AIT307,,,,,,
645532886c991f17286e25aa,CE,A,5,CET301,,,,,,
645532886c991f17286e25b6,CS,A,6,CST302,,,,,,
645532886c991f17286e25b7,CS,B,6,CST304,,,,,,
645532886c991f17286e25cd,CC,F,6,CCT308,,,,,,
645532886c991f17286e25d2,EE,E,6,HUT300,HUT310,,,,,
645532886c991f17286e25e7,CS,B,7,CST413,CST423,CST433,CST443,CST463,CST473,
645532886c991f17286e25f1,AD,D,7,MCN401,,,,,,
645532886c991f17286e2644,CE,A,1,MAT101,,,,,,
645532886c991f17286e264f,CS,B,2,PHT100,CYT100,,,,,
645532886c991f17286e265e,AD,E,2,HUN102,,,,,,
645532886c991f17286e253d,CC,F,3,MCN201,,,,,,
645532886c991f17286e2544,EC,A,3,MAT201,,,,,,
645532886c991f17286e2548,EC,E,3,EST200,HUT200,,,,,
645532886c991f17286e254c,CE,C,3,CET203,,,,,,
645532886c991f17286e2555,ME,F,3,MCN201,,,,,,
645532886c991f17286e255b,CS,F,4,MCN202,,,,,,
645532886c991f17286e2564,AD,C,4,CST204,,,,,,
645532886c991f17286e2569,CC,B,4,CST202,,,,,,
645532886c991f17286e2571,EE,D,4,EET206,,,,,,
645532886c991f17286e2574,EC,A,4,MAT204,,,,,,
645532886c991f17286e257e,CE,E,4,EST200,HUT200,,,,,
645532886c991f17286e25a8,EC,E,5,HUT300,HUT310,,,,,
645532886c991f17286e25ce,EE,A,6,EET302,,,,,,
645532886c991f17286e25ee,AD,A,7,AIT401,,,,,,
645532886c991f17286e25fa,EC,A,7,ECT401,,,,,,
645532886c991f17286e25fc,EC,C,7,ECT415,ECT425,ECT435,ECT445,ECT455,,
645532886c991f17286e25fd,EC,D,7,MCN401,,,,,,
645532886c991f17286e25fe,CE,A,7,CET401,,,,,,
645532886c991f17286e2616,EE,A,8,EET402,,,,,,
645532886c991f17286e2646,CE,C,1,EST100,EST110,,,,,
645532886c991f17286e2652,CS,E,2,HUN102,,,,,,
645532886c991f17286e2654,CA,A,2,MAT102,,,,,,
645532886c991f17286e265b,AD,B,2,PHT100,CYT100,,,,,
645532886c991f17286e2662,CC,C,2,EST100,EST110,,,,,
645532886c991f17286e2664,CC,E,2,HUN102,,,,,,
645532886c991f17286e2673,CE,B,2,PHT100,CYT100,,,,,
645532886c991f17286e267d,ME,F,2,EST102,,,,,,
645532886c991f17286e253b,CC,D,3,CST205,,,,,,
645532886c991f17286e2532,AD,A,3,MAT203,,,,,,
645532886c991f17286e253c,CC,E,3,EST200,HUT200,,,,,
645532886c991f17286e255e,CA,C,4,CST204,,,,,,
645532886c991f17286e2563,AD,B,4,CST202,,,,,,
645532886c991f17286e2567,AD,F,4,MCN202,,,,,,
645532886c991f17286e25a7,EC,D,5,ECT307,,,,,,
645532886c991f17286e25b9,CS,D,6,CST312,CST322,CST332,CST342,CST362,CST372,
645532886c991f17286e25c2,AD,A,6,ADT302,,,,,,
645532886c991f17286e25cc,CC,E,6,HUT300,,,,,,
645532886c991f17286e25d1,EE,D,6,EET312,EET322,EET332,EET342,EET352,EET362,EET372
645532886c991f17286e261e,CE,A,8,CET402,,,,,,
645532886c991f17286e263b,EE,B,1,PHT100,CYT100,,,,,
645532886c991f17286e2655,CA,B,2,PHT100,CYT100,,,,,
645532886c991f17286e2677,CE,F,2,EST102,,,,,,
645532886c991f17286e2565,AD,D,4,CST206,,,,,,
645532886c991f17286e2572,EE,E,4,EST200,HUT200,,,,,
645532886c991f17286e2588,CS,C,5,CST305,,,,,,
645532886c991f17286e25ab,CE,B,5,CET303,,,,,,
645532886c991f17286e25af,CE,F,5,MCN301,,,,,,
645532886c991f17286e25b2,ME,C,5,MET305,,,,,,
645532886c991f17286e25ba,CS,E,6,HUT300,,,,,,
645532886c991f17286e25c3,AD,B,6,AIT304,,,,,,
645532886c991f17286e25c7,AD,F,6,ADT308,,,,,,
645532886c991f17286e2607,CS,B,8,CST414,CST424,CST434,CST444,CST454,CST464,CST474
645532886c991f17286e260f,AD,B,8,AMT414,CST424,CST434,CST444,CST454,CST464,CST474
645532886c991f17286e2610,AD,C,8,AMT416,AIT426,CST436,CST446,AIT456,CST466,AIT476
645532886c991f17286e2613,CC,B,8,CST414,CST424,CCT434,CST444,CST454,CST464,CST474
645532886c991f17286e262a,CS,E,1,HUN101,,,,,,
645532886c991f17286e2631,AD,B,1,PHT100,CYT100,,,,,
645532886c991f17286e2635,CC,A,1,MAT101,,,,,,
645532886c991f17286e263e,EE,E,1,HUN101,,,,,,
645532886c991f17286e2640,EC,B,1,PHT100,CYT100,,,,,
645532886c991f17286e264e,CS,A,2,MAT102,,,,,,
645532886c991f17286e2653,CS,F,2,EST102,,,,,,
645532886c991f17286e2661,CC,B,2,PHT100,CYT100,,,,,
645532886c991f17286e266b,EE,F,2,EST102,,,,,,
645532886c991f17286e2672,CE,A,2,MAT102,,,,,,
645532886c991f17286e267b,ME,D,2,EST120,EST130,,,,,
645532886c991f17286e252b,CS,F,3,MCN201,,,,,,
645532886c991f17286e2545,EC,B,3,ECT201,,,,,,
645532886c991f17286e2546,EC,C,3,ECT203,,,,,,
645532886c991f17286e2551,ME,B,3,MET201,,,,,,
645532886c991f17286e255d,CA,B,4,CST202,,,,,,
645532886c991f17286e2561,CA,F,4,MCN202,,,,,,
645532886c991f17286e2566,AD,E,4,EST200,HUT200,,,,,
645532886c991f17286e2575,EC,B,4,ECT202,,,,,,
645532886c991f17286e2598,CC,A,5,CST301,,,,,,
645532886c991f17286e25a9,EC,F,5,MCN301,,,,,,
645532886c991f17286e25ac,CE,C,5,CET305,,,,,,
645532886c991f17286e25bc,CA,A,6,CST302,,,,,,
645532886c991f17286e25bd,CA,B,6,AIT304,,,,,,
645532886c991f17286e25ca,CC,C,6,CST306,,,,,,
645532886c991f17286e25da,CE,A,6,CET302,,,,,,
645532886c991f17286e25e2,ME,C,6,MET306,,,,,,
645532886c991f17286e25ea,CA,A,7,AIT401,,,,,,
645532886c991f17286e25ed,CA,D,7,MCN401,,,,,,
645532886c991f17286e25f7,EE,B,7,EET413,EET423,EET433,EET443,EET453,EET463,EET473
645532886c991f17286e2600,CE,C,7,CET415,CET425,CET435,CET445,CET455,CET465,
645532886c991f17286e2614,CC,C,8,CCT416,CST426,CST436,CST446,CCT456,CST466,CST476
645532886c991f17286e2679,ME,B,2,PHT100,CYT100,,,,,
